DCNv3-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 18:13:42
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9073
IDF1:               0.9087
ID Switches:        784
Mostly Tracked (MT):(90.7%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                81.99
Runtime:            01:54:17
Class Switches:     7452

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4655
  MOTORCYCLE      321
  TRICYCLE        190
  VAN             560
  BUS             0
  TRUCK           17
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
02:10:00-02:15:00 16       163      137      11.68      118.98    
02:15:00-02:20:00 15       173      124      12.10      139.52    
02:20:00-02:25:00 12       68       118      10.17      57.63     
02:25:00-02:30:00 21       187      95       22.11      196.84    
02:30:00-02:35:00 4        55       69       5.80       79.71     
02:35:00-02:40:00 1        37       53       1.89       69.81     
02:40:00-02:45:00 2        20       45       4.44       44.44     
02:45:00-02:50:00 2        35       45       4.44       77.78     
02:50:00-02:55:00 4        67       81       4.94       82.72     
02:55:00-03:00:00 0        25       51       0.00       49.02     
03:00:00-03:05:00 1        50       53       1.89       94.34     
03:05:00-03:10:00 4        36       95       4.21       37.89     
03:10:00-03:15:00 7        35       96       7.29       36.46     
03:15:00-03:20:00 6        87       78       7.69       111.54    
03:20:00-03:25:00 7        60       71       9.86       84.51     
03:25:00-03:30:00 5        54       71       7.04       76.06     
03:30:00-03:35:00 1        48       65       1.54       73.85     
03:35:00-03:40:00 2        32       64       3.12       50.00     
03:40:00-03:45:00 2        30       46       4.35       65.22     
03:45:00-03:50:00 3        11       34       8.82       32.35     
03:50:00-03:55:00 3        23       46       6.52       50.00     
03:55:00-04:00:00 3        49       45       6.67       108.89    
04:00:00-04:05:00 1        30       42       2.38       71.43     
04:05:00-04:10:00 2        39       57       3.51       68.42     
04:10:00-04:15:00 2        21       46       4.35       45.65     
04:15:00-04:20:00 2        21       51       3.92       41.18     
04:20:00-04:25:00 8        50       83       9.64       60.24     
04:25:00-04:30:00 7        44       78       8.97       56.41     
04:30:00-04:35:00 8        54       78       10.26      69.23     
04:35:00-04:40:00 4        36       72       5.56       50.00     
04:40:00-04:45:00 3        45       59       5.08       76.27     
04:45:00-04:50:00 10       79       81       12.35      97.53     
04:50:00-04:55:00 3        39       57       5.26       68.42     
04:55:00-05:00:00 5        102      95       5.26       107.37    
05:00:00-05:05:00 16       51       69       23.19      73.91     
05:05:00-05:10:00 4        21       56       7.14       37.50     
05:10:00-05:15:00 4        67       65       6.15       103.08    
05:15:00-05:20:00 3        28       35       8.57       80.00     
05:20:00-05:25:00 2        45       49       4.08       91.84     
05:25:00-05:30:00 2        48       54       3.70       88.89     
05:30:00-05:35:00 4        30       58       6.90       51.72     
05:35:00-05:40:00 0        6        37       0.00       16.22     
05:40:00-05:45:00 2        21       49       4.08       42.86     
05:45:00-05:50:00 0        30       40       0.00       75.00     
05:50:00-05:55:00 2        25       33       6.06       75.76     
05:55:00-06:00:00 3        56       70       4.29       80.00     
06:00:00-06:05:00 7        49       56       12.50      87.50     
06:05:00-06:10:00 3        67       47       6.38       142.55    
06:10:00-06:15:00 7        51       60       11.67      85.00     
06:15:00-06:20:00 5        50       62       8.06       80.65     
06:20:00-06:25:00 3        33       43       6.98       76.74     
06:25:00-06:30:00 2        51       57       3.51       89.47     
06:30:00-06:35:00 3        52       56       5.36       92.86     
06:35:00-06:40:00 18       61       89       20.22      68.54     
06:40:00-06:45:00 3        67       69       4.35       97.10     
06:45:00-06:50:00 2        34       49       4.08       69.39     
06:50:00-06:55:00 9        40       48       18.75      83.33     
06:55:00-07:00:00 6        53       61       9.84       86.89     
07:00:00-07:05:00 5        33       37       13.51      89.19     
07:05:00-07:10:00 9        61       80       11.25      76.25     
07:10:00-07:15:00 4        45       73       5.48       61.64     
07:15:00-07:20:00 5        79       73       6.85       108.22    
07:20:00-07:25:00 6        78       58       10.34      134.48    
07:25:00-07:30:00 5        72       60       8.33       120.00    
07:30:00-07:35:00 6        53       77       7.79       68.83     
07:35:00-07:40:00 8        74       81       9.88       91.36     
07:40:00-07:45:00 5        63       71       7.04       88.73     
07:45:00-07:50:00 10       47       64       15.62      73.44     
07:50:00-07:55:00 9        60       86       10.47      69.77     
07:55:00-08:00:00 5        44       70       7.14       62.86     
08:00:00-08:05:00 5        11       60       8.33       18.33     
08:05:00-08:10:00 0        24       46       0.00       52.17     
08:10:00-08:15:00 3        22       44       6.82       50.00     
08:15:00-08:20:00 3        36       52       5.77       69.23     
08:20:00-08:25:00 1        9        26       3.85       34.62     
08:25:00-08:30:00 4        39       68       5.88       57.35     
08:30:00-08:35:00 7        56       84       8.33       66.67     
08:35:00-08:40:00 2        39       53       3.77       73.58     
08:40:00-08:45:00 7        38       70       10.00      54.29     
08:45:00-08:50:00 4        77       66       6.06       116.67    
08:50:00-08:55:00 6        81       60       10.00      135.00    
08:55:00-09:00:00 4        33       62       6.45       53.23     
09:00:00-09:05:00 6        29       58       10.34      50.00     
09:05:00-09:10:00 3        41       73       4.11       56.16     
09:10:00-09:15:00 36       122      127      28.35      96.06     
09:15:00-09:20:00 2        31       61       3.28       50.82     
09:20:00-09:25:00 4        83       69       5.80       120.29    
09:25:00-09:30:00 5        25       65       7.69       38.46     
09:30:00-09:35:00 24       80       114      21.05      70.18     
09:35:00-09:40:00 10       64       64       15.62      100.00    
09:40:00-09:45:00 4        60       70       5.71       85.71     
09:45:00-09:50:00 3        22       35       8.57       62.86     
09:50:00-09:55:00 2        31       52       3.85       59.62     
09:55:00-10:00:00 2        31       49       4.08       63.27     
10:00:00-10:05:00 6        60       81       7.41       74.07     
10:05:00-10:10:00 3        36       55       5.45       65.45     
10:10:00-10:15:00 0        57       53       0.00       107.55    
10:15:00-10:20:00 8        37       71       11.27      52.11     
10:20:00-10:25:00 0        19       40       0.00       47.50     

CLASSIFICATION SWITCHES: 7452 total
Frame    ID     From         To          
872      15     car          van         
874      15     van          car         
879      15     car          van         
922      15     van          car         
926      16     car          van         
973      16     van          car         
974      23     van          car         
1045     25     car          van         
1096     26     car          van         
1100     25     van          car         
1108     26     van          car         
1115     26     car          van         
1140     26     van          car         
1143     27     car          van         
1168     31     car          van         
1311     37     car          van         
1320     37     van          car         
1321     37     car          van         
1322     37     van          car         
1334     37     car          van         
1364     37     van          car         
1366     37     car          van         
1367     37     van          car         
1819     46     van          car         
1904     50     car          tricycle    
1906     50     tricycle     car         
2208     61     car          van         
2225     61     van          truck       
2226     61     truck        van         
2233     61     van          car         
2234     61     car          van         
2443     66     car          tricycle    
2444     66     tricycle     car         
2844     72     car          van         
2845     72     van          car         
2847     72     car          van         
2859     72     van          car         
2860     72     car          van         
2863     72     van          car         
2867     72     car          van         
2890     74     car          truck       
2898     74     truck        car         
2905     72     van          car         
3995     91     car          van         
4042     91     van          car         
4057     96     car          truck       
4061     96     truck        car         
4316     102    car          van         
4317     102    van          car         
4496     116    car          truck       
4497     116    truck        car         
4605     119    car          motorcycle  
4690     127    car          van         
4703     127    van          car         
4712     127    car          van         
4758     129    car          van         
4761     127    van          car         
4818     129    van          car         
4818     132    car          van         
4819     132    van          car         
4853     134    van          car         
4853     135    car          van         
4863     134    car          van         
4864     134    van          car         
4867     134    car          van         
4868     134    van          car         
4871     134    car          van         
4928     134    van          car         
4930     134    car          van         
4930     141    van          car         
4932     141    car          van         
4933     141    van          car         
4939     141    car          van         
5016     142    car          van         
5018     142    van          car         
5438     160    car          van         
5564     167    van          car         
5586     167    car          van         
5714     167    van          car         
6051     188    car          van         
6212     188    van          car         
8685     224    car          van         
8686     224    van          car         
8696     224    car          truck       
8698     224    truck        van         
8723     224    van          car         
8724     228    van          car         
8735     227    car          van         
8736     227    van          car         
8737     227    car          van         
8743     227    van          car         
8749     227    car          van         
8772     227    van          car         
8806     235    car          van         
8856     235    van          car         
9144     250    car          van         
9147     250    van          car         
9149     250    car          van         
9178     250    van          car         
9406     261    car          van         
9408     261    van          car         
9411     261    car          van         
9414     261    van          car         
9443     265    car          van         
9495     268    car          van         
9506     268    van          car         
9510     268    car          van         
9536     268    van          car         
9537     268    car          van         
9538     268    van          car         
9538     272    car          van         
9539     272    van          car         
9646     276    van          truck       
9648     276    truck        van         
9652     276    van          truck       
9656     276    truck        van         
9657     276    van          truck       
9662     276    truck        van         
9663     276    van          truck       
9664     276    truck        van         
9678     276    van          car         
9746     287    car          van         
9749     287    van          car         
9755     287    car          van         
9757     287    van          car         
9864     290    car          van         
9866     290    van          car         
9867     290    car          van         
9881     290    van          truck       
9883     290    truck        van         
9914     292    car          truck       
9919     290    van          car         
9935     292    truck        car         
9938     292    car          van         
9942     292    van          car         
9943     292    car          van         
9944     292    van          car         
9945     292    car          van         
9948     292    van          car         
9952     292    car          van         
9955     292    van          car         
9958     292    car          van         
9988     292    van          truck       
9989     292    truck        van         
9990     292    van          truck       
9993     292    truck        van         
10032    292    van          truck       
10046    299    car          van         
10107    299    van          car         
10130    301    van          car         
10131    301    car          van         
10136    301    van          car         
