DCNv3-Pan - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 23:32:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9174
IDF1:               0.9287
ID Switches:        915
Mostly Tracked (MT):(91.2%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                60.13
Runtime:            02:35:49
Class Switches:     10422

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4714
  MOTORCYCLE      379
  TRICYCLE        189
  VAN             498
  BUS             2
  TRUCK           7
  TOTAL           5789

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
2851     87     car          van         
2856     87     van          car         
2858     87     car          van         
2904     87     van          car         
3030     92     motorcycle   car         
3051     92     car          tricycle    
3052     92     tricycle     car         
3167     95     car          tricycle    
3167     96     tricycle     car         
3168     95     tricycle     car         
3168     96     car          tricycle    
3169     95     car          tricycle    
3169     96     tricycle     car         
3171     95     tricycle     car         
3245     97     car          tricycle    
3247     97     tricycle     car         
3248     97     car          tricycle    
3250     97     tricycle     car         
3516     108    car          tricycle    
3517     108    tricycle     car         
4043     119    van          car         
4053     120    car          tricycle    
4055     120    tricycle     car         
4384     136    car          tricycle    
4386     136    tricycle     car         
4469     136    car          motorcycle  
4500     143    car          tricycle    
4503     143    tricycle     car         
4605     145    car          motorcycle  
4697     152    car          van         
4757     154    car          van         
4760     152    van          car         
4818     154    van          car         
4846     160    car          van         
4848     160    van          car         
4851     160    car          van         
4857     160    van          car         
4874     160    car          van         
4905     160    van          car         
4919     160    car          van         
4929     160    van          car         
4933     160    car          van         
4935     160    van          car         
4975     168    tricycle     car         
5204     180    car          tricycle    
5206     180    tricycle     car         
5249     183    car          van         
5251     183    van          car         
5385     187    tricycle     car         
5436     188    van          car         
5440     188    car          van         
5493     191    car          tricycle    
5496     191    tricycle     car         
5531     193    car          tricycle    
5533     193    tricycle     car         
5552     194    car          van         
5562     194    van          car         
5589     194    car          van         
5716     194    van          car         
5746     203    car          tricycle    
5747     203    tricycle     car         
5802     207    car          truck       
5817     207    truck        car         
5861     204    van          car         
5876     213    car          tricycle    
5879     213    tricycle     car         
6016     221    car          van         
6017     221    van          car         
6081     221    car          van         
6214     221    van          car         
6216     221    car          van         
6220     221    van          car         
6712     233    car          tricycle    
6713     233    tricycle     car         
7027     241    car          tricycle    
7029     241    tricycle     car         
8397     256    car          tricycle    
8398     256    tricycle     car         
8533     263    car          tricycle    
8534     263    tricycle     car         
8581     265    car          tricycle    
8586     265    tricycle     car         
8685     273    tricycle     car         
8689     273    car          tricycle    
8696     272    car          van         
8703     272    van          car         
8705     272    car          van         
8722     272    van          car         
8723     275    van          car         
8731     274    car          van         
8732     274    van          car         
8733     274    car          van         
8747     274    van          car         
8751     274    car          van         
8771     274    van          car         
8772     278    van          car         
8778     277    car          tricycle    
8783     277    tricycle     car         
8800     281    van          car         
8802     281    car          van         
8837     283    car          motorcycle  
8840     283    motorcycle   tricycle    
8844     283    tricycle     car         
8849     283    car          tricycle    
8851     283    tricycle     car         
8863     283    car          tricycle    
8864     283    tricycle     car         
8865     283    car          tricycle    
8867     283    tricycle     car         
8908     288    car          tricycle    
8909     288    tricycle     car         
8913     288    car          tricycle    
8915     288    tricycle     car         
9086     295    car          tricycle    
9089     296    car          tricycle    
9095     295    tricycle     car         
9098     295    car          tricycle    
9099     295    tricycle     car         
9107     295    car          tricycle    
9108     295    tricycle     car         
9149     301    car          van         
9179     301    van          car         
9374     311    car          tricycle    
9375     311    tricycle     car         
9378     311    car          tricycle    
9386     311    tricycle     car         
9409     311    car          van         
9410     311    van          car         
9411     311    car          van         
9413     311    van          car         
9431     319    car          van         
9437     319    van          car         
9439     319    car          van         
9440     319    van          car         
9455     319    car          van         
9485     321    car          tricycle    
9486     321    tricycle     car         
9499     321    car          van         
9501     321    van          truck       
9504     321    truck        car         
9511     321    car          van         
9516     321    van          car         
9518     321    car          van         
9539     321    van          car         
9577     327    car          tricycle    
9578     327    tricycle     car         
9630     329    van          car         
9631     329    car          van         
9679     329    van          car         
9699     335    car          tricycle    
9701     335    tricycle     car         
9862     343    car          van         
9864     343    van          car         
9868     343    car          van         
9919     343    van          car         
9919     347    car          van         
9920     347    van          truck       
9931     347    truck        van         
9936     347    van          car         
9951     347    car          van         
9967     347    van          car         
9976     347    car          van         
10050    352    van          car         
10051    352    car          van         
10116    354    car          van         
10238    362    car          tricycle    
10246    362    tricycle     truck       
10247    362    truck        tricycle    
10250    362    tricycle     truck       
10251    362    truck        tricycle    
10254    362    tricycle     car         
10267    362    car          van         
10268    362    van          car         
10271    362    car          van         
10272    362    van          car         
10273    362    car          van         
10278    362    van          car         
10346    368    car          tricycle    
10351    368    tricycle     car         
10426    371    car          tricycle    
10436    371    tricycle     car         
10609    375    car          tricycle    
10610    375    tricycle     car         
10653    377    car          van         
10656    377    van          car         
10685    377    car          van         
10688    377    van          car         
